,mse,mae,mape
8,0.9275967099915735,0.7353350041857605,2.0044788222965226
7,0.937614402728891,0.75117883711394,2.054391496784605
6,1.0281807007213224,0.7628224734705878,4.205591065809126
5,0.8464576184353834,0.708892370012819,1.9717297659844197
4,0.8667012628654024,0.7281173432345326,1.6802334982552043
3,0.9244068235173762,0.7339721709965529,2.080264360112507
2,0.5962870288495805,0.6229434066308269,1.4313700349460194
1,1.0935349453039143,0.7826736613632767,1.966144907281906
0,0.9671588533359012,0.7330653636105425,1.920859853119187
